DETAILED RESULTS FOR GEMMA2
================================================================================

MCQ EVALUATION RESULTS
--------------------------------------------------

Dataset: CVE
  Total questions: 2000
  Correct answers: 445
  Incorrect answers: 1555
  Accuracy: 22.25%

  Incorrect Answers:
  Question   Ground Truth    Model Answer   
  ----------------------------------------
  1          D               C              
  3          D               A              
  4          D               A              
  6          C               B              
  7          B               A              
  8          B               A              
  9          D               A              
  10         B               A              
  11         B               A              
  12         B               A              
  13         D               A              
  14         B               C              
  16         A               B              
  17         B               A              
  18         C               B              
  19         D               A              
  21         D               C              
  23         C               D              
  25         B               A              
  26         A               C              
  27         D               A              
  28         B               A              
  29         D               C              
  30         C               B              
  33         C               D              
  36         D               A              
  37         C               B              
  38         B               A              
  39         C               D              
  40         B               C              
  42         D               A              
  43         B               D              
  44         D               A              
  45         B               A              
  46         B               A              
  47         B               D              
  48         C               A              
  49         B               D              
  50         B               D              
  51         B               D              
  52         C               B              
  53         A               B              
  54         D               C              
  55         D               A              
  56         B               A              
  57         A               C              
  58         A               C              
  59         D               A              
  62         B               C              
  63         B               A              
  65         B               A              
  66         B               A              
  67         B               D              
  69         C               A              
  70         D               A              
  71         D               B              
  73         B               C              
  74         C               A              
  75         D               B              
  76         B               A              
  77         A               C              
  78         D               A              
  79         A               C              
  80         B               A              
  81         A               D              
  82         B               C              
  84         D               A              
  85         B               A              
  86         B               A              
  87         B               C              
  89         D               A              
  90         A               C              
  91         A               D              
  92         D               A              
  94         B               A              
  95         D               B              
  96         B               A              
  97         D               B              
  98         A               B              
  100        D               A              
  101        D               A              
  103        D               C              
  104        B               A              
  105        C               A              
  106        D               C              
  108        B               A              
  110        D               C              
  114        B               A              
  115        A               C              
  116        B               A              
  117        B               A              
  118        B               C              
  119        A               C              
  120        A               C              
  121        C               D              
  122        D               B              
  123        D               C              
  125        B               A              
  126        C               A              
  127        A               C              
  128        A               B              
  129        D               A              
  130        C               A              
  131        C               D              
  132        D               B              
  133        D               A              
  134        B               A              
  136        D               C              
  137        D               A              
  138        A               C              
  139        C               A              
  140        C               A              
  141        B               A              
  142        D               C              
  144        D               A              
  145        B               D              
  146        B               A              
  147        C               A              
  148        D               A              
  150        A               C              
  151        A               C              
  153        D               A              
  155        B               A              
  156        D               C              
  159        C               A              
  160        A               C              
  161        D               B              
  163        D               A              
  164        B               A              
  165        B               A              
  166        A               C              
  168        C               A              
  169        C               A              
  170        D               B              
  171        B               C              
  172        C               A              
  173        D               A              
  174        D               B              
  175        C               D              
  177        B               C              
  178        B               D              
  180        C               A              
  181        D               A              
  182        A               D              
  184        D               C              
  185        C               A              
  186        A               D              
  187        B               C              
  188        D               C              
  189        B               C              
  190        B               A              
  191        B               A              
  192        C               A              
  193        C               B              
  194        C               D              
  195        B               D              
  196        A               C              
  197        B               D              
  199        A               D              
  200        A               D              
  201        D               A              
  202        D               C              
  203        B               A              
  204        A               C              
  205        C               B              
  206        C               B              
  207        A               D              
  208        C               B              
  209        B               C              
  210        C               A              
  211        D               A              
  212        C               A              
  213        D               C              
  214        C               B              
  215        A               C              
  216        D               C              
  217        C               D              
  218        C               A              
  219        D               C              
  220        C               A              
  221        C               D              
  222        B               C              
  223        A               C              
  224        C               A              
  225        B               D              
  226        A               C              
  228        C               A              
  230        B               A              
  232        A               C              
  233        A               C              
  234        B               A              
  235        A               D              
  236        C               B              
  237        A               C              
  238        A               D              
  239        D               C              
  240        A               D              
  242        A               B              
  243        A               C              
  245        D               A              
  246        A               C              
  248        A               C              
  249        C               D              
  250        C               A              
  251        D               A              
  252        C               D              
  253        A               B              
  254        B               A              
  255        D               A              
  257        C               A              
  258        D               B              
  259        C               B              
  260        C               A              
  262        A               C              
  263        D               A              
  265        D               A              
  266        B               A              
  267        A               C              
  268        A               C              
  269        A               B              
  270        C               A              
  271        C               A              
  272        B               D              
  273        B               A              
  274        B               A              
  275        A               B              
  276        A               C              
  277        D               B              
  278        B               C              
  280        C               A              
  283        A               C              
  285        D               A              
  287        D               A              
  289        C               A              
  291        C               A              
  292        D               A              
  293        D               A              
  294        A               C              
  295        D               A              
  297        D               A              
  298        D               A              
  299        A               D              
  301        A               B              
  302        D               A              
  304        A               C              
  305        C               A              
  306        A               B              
  307        D               C              
  308        C               B              
  309        C               D              
  313        B               C              
  314        D               A              
  315        B               A              
  317        D               A              
  318        B               C              
  319        B               C              
  320        B               D              
  321        D               C              
  322        D               A              
  323        C               A              
  324        B               D              
  325        C               B              
  326        A               B              
  328        D               B              
  329        C               D              
