DETAILED RESULTS FOR LLAMA3.2
================================================================================

MCQ EVALUATION RESULTS
--------------------------------------------------

Dataset: CVE
  Total questions: 2000
  Correct answers: 450
  Incorrect answers: 1550
  Accuracy: 22.50%

  Incorrect Answers:
  Question   Ground Truth    Model Answer   
  ----------------------------------------
  1          D               C              
  3          D               A              
  4          D               A              
  5          C               D              
  6          C               A              
  7          B               A              
  8          B               C              
  9          D               A              
  10         B               A              
  11         B               A              
  12         B               A              
  13         D               A              
  14         B               A              
  17         B               C              
  19         D               A              
  21         D               A              
  23         C               A              
  24         D               B              
  25         B               A              
  27         D               A              
  28         B               A              
  29         D               A              
  31         C               A              
  33         C               D              
  36         D               A              
  38         B               A              
  39         C               B              
  40         B               A              
  41         C               A              
  42         D               A              
  44         D               A              
  45         B               A              
  46         B               A              
  47         B               A              
  48         C               A              
  49         B               A              
  50         B               A              
  51         B               A              
  52         C               B              
  54         D               C              
  55         D               A              
  56         B               A              
  58         A               C              
  59         D               A              
  61         C               A              
  62         B               C              
  63         B               A              
  65         B               A              
  66         B               A              
  69         C               A              
  70         D               A              
  71         D               A              
  72         C               B              
  75         D               A              
  76         B               A              
  78         D               C              
  79         A               C              
  80         B               C              
  82         B               C              
  84         D               A              
  85         B               A              
  86         B               A              
  89         D               A              
  90         A               C              
  92         D               A              
  94         B               A              
  95         D               B              
  96         B               C              
  97         D               B              
  100        D               A              
  101        D               A              
  102        C               B              
  103        D               C              
  104        B               A              
  105        C               A              
  106        D               A              
  108        B               A              
  110        D               A              
  112        D               A              
  113        D               A              
  114        B               D              
  116        B               A              
  117        B               A              
  118        B               A              
  119        A               C              
  122        D               A              
  123        D               C              
  124        C               A              
  125        B               A              
  126        C               A              
  127        A               C              
  128        A               C              
  129        D               A              
  130        C               A              
  131        C               B              
  132        D               A              
  133        D               A              
  134        B               A              
  136        D               A              
  137        D               C              
  140        C               B              
  141        B               A              
  142        D               A              
  144        D               A              
  145        B               A              
  146        B               A              
  147        C               A              
  148        D               A              
  149        C               A              
  153        D               A              
  155        B               A              
  156        D               A              
  157        C               A              
  159        C               A              
  160        A               C              
  161        D               C              
  162        B               A              
  163        D               A              
  164        B               A              
  165        B               A              
  168        C               A              
  169        C               A              
  170        D               B              
  171        B               A              
  172        C               A              
  173        D               C              
  174        D               A              
  175        C               A              
  176        C               A              
  177        B               A              
  179        D               A              
  180        C               A              
  181        D               C              
  182        A               C              
  184        D               B              
  187        B               A              
  188        D               B              
  190        B               A              
  191        B               A              
  192        C               A              
  193        C               A              
  195        B               A              
  196        A               C              
  198        C               A              
  200        A               B              
  201        D               A              
  202        D               A              
  203        B               A              
  205        C               A              
  207        A               C              
  208        C               A              
  209        B               C              
  210        C               A              
  211        D               A              
  212        C               A              
  213        D               A              
  214        C               A              
  216        D               A              
  217        C               A              
  218        C               A              
  219        D               C              
  220        C               A              
  221        C               A              
  222        B               A              
  223        A               C              
  224        C               A              
  225        B               C              
  226        A               B              
  227        C               B              
  228        C               A              
  229        B               A              
  230        B               A              
  231        D               A              
  234        B               A              
  236        C               B              
  237        A               C              
  238        A               C              
  239        D               A              
  243        A               B              
  244        A               C              
  245        D               A              
  247        A               C              
  249        C               A              
  250        C               A              
  251        D               C              
  252        C               A              
  253        A               B              
  254        B               A              
  255        D               A              
  257        C               A              
  258        D               B              
  259        C               A              
  260        C               A              
  263        D               A              
  265        D               A              
  266        B               A              
  270        C               A              
  271        C               A              
  272        B               A              
  273        B               A              
  274        B               A              
  275        A               B              
  276        A               B              
  277        D               B              
  278        B               A              
  280        C               A              
  282        B               A              
  284        B               A              
  285        D               A              
  286        D               A              
  287        D               A              
  289        C               A              
  290        C               A              
  291        C               A              
  292        D               A              
  293        D               A              
  295        D               C              
  296        A               C              
  297        D               A              
  298        D               A              
  299        A               B              
  300        A               B              
  302        D               A              
  303        C               A              
  305        C               A              
  306        A               B              
  307        D               C              
  308        C               A              
  309        C               A              
  310        B               A              
  311        C               A              
  312        D               A              
  314        D               B              
  315        B               A              
  316        D               C              
  317        D               C              
  318        B               A              
  319        B               A              
  320        B               C              
  321        D               C              
  322        D               A              
  323        C               A              
  324        B               A              
  325        C               A              
  326        A               C              
  327        C               A              
  328        D               B              
  330        A               C              
  331        C               A              
  332        D               C              
  333        B               C              
  334        D               C              
  336        B               C              
  337        D               A              
  338        D               A              
  339        D               A              
  340        B               A              
  341        B               A              
  343        D               C              
  344        C               A              
  345        B               A              
  348        A               C              
  349        D               A              
  351        B               A              
  352        C               A              
