DETAILED RESULTS FOR QWEN2.5
================================================================================

MCQ EVALUATION RESULTS
--------------------------------------------------

Dataset: CVE
  Total questions: 2000
  Correct answers: 509
  Incorrect answers: 1491
  Accuracy: 25.45%

  Incorrect Answers:
  Question   Ground Truth    Model Answer   
  ----------------------------------------
  1          D               A              
  3          D               C              
  4          D               A              
  5          C               D              
  6          C               A              
  7          B               A              
  8          B               A              
  9          D               A              
  10         B               A              
  11         B               A              
  12         B               A              
  13         D               A              
  14         B               A              
  15         D               B              
  16         A               B              
  17         B               A              
  18         C               B              
  19         D               A              
  22         A               B              
  23         C               B              
  24         D               B              
  25         B               A              
  27         D               A              
  28         B               A              
  29         D               C              
  30         C               B              
  31         C               B              
  33         C               D              
  36         D               C              
  38         B               A              
  39         C               D              
  40         B               A              
  41         C               A              
  42         D               A              
  43         B               A              
  44         D               A              
  45         B               A              
  46         B               A              
  47         B               A              
  48         C               D              
  49         B               A              
  50         B               A              
  51         B               A              
  52         C               B              
  53         A               C              
  54         D               A              
  55         D               B              
  56         B               A              
  58         A               B              
  59         D               A              
  61         C               B              
  62         B               A              
  63         B               D              
  65         B               A              
  66         B               A              
  69         C               A              
  70         D               A              
  71         D               B              
  72         C               A              
  74         C               A              
  75         D               A              
  76         B               A              
  78         D               A              
  80         B               A              
  82         B               C              
  84         D               B              
  85         B               A              
  86         B               A              
  88         C               B              
  89         D               A              
  90         A               C              
  92         D               A              
  94         B               D              
  95         D               B              
  96         B               D              
  97         D               B              
  98         A               B              
  100        D               A              
  101        D               A              
  102        C               B              
  103        D               B              
  104        B               A              
  106        D               A              
  107        C               D              
  108        B               C              
  110        D               A              
  114        B               D              
  116        B               A              
  117        B               A              
  118        B               A              
  122        D               B              
  123        D               A              
  124        C               D              
  125        B               D              
  126        C               A              
  127        A               B              
  128        A               B              
  129        D               A              
  130        C               A              
  132        D               C              
  133        D               A              
  134        B               A              
  136        D               A              
  137        D               C              
  138        A               B              
  139        C               A              
  140        C               A              
  141        B               A              
  142        D               A              
  144        D               A              
  145        B               A              
  146        B               A              
  147        C               A              
  148        D               A              
  149        C               A              
  151        A               C              
  153        D               A              
  155        B               A              
  156        D               B              
  157        C               A              
  158        B               A              
  159        C               D              
  160        A               B              
  161        D               B              
  163        D               A              
